DATE,IPG2211A2N,t,season
1/1/1990,83.3773,1,Jan
2/1/1990,76.2628,2,Feb
3/1/1990,72.3211,3,Mar
4/1/1990,66.4534,4,Apr
5/1/1990,65.026,5,May
6/1/1990,70.5806,6,Jun
7/1/1990,75.6871,7,Jul
8/1/1990,76.1686,8,Aug
9/1/1990,72.1797,9,Sep
10/1/1990,66.6111,10,Oct
11/1/1990,67.7378,11,Nov
12/1/1990,76.7512,12,Dec
1/1/1991,84.9993,13,Jan
2/1/1991,76.6377,14,Feb
3/1/1991,72.5039,15,Mar
4/1/1991,66.3463,16,Apr
5/1/1991,67.9893,17,May
6/1/1991,73.9596,18,Jun
7/1/1991,79.1456,19,Jul
8/1/1991,78.2162,20,Aug
9/1/1991,72.7073,21,Sep
10/1/1991,67.9247,22,Oct
11/1/1991,71.6268,23,Nov
12/1/1991,78.5451,24,Dec
1/1/1992,84.2749,25,Jan
2/1/1992,79.2137,26,Feb
3/1/1992,73.6199,27,Mar
4/1/1992,68.791,28,Apr
5/1/1992,66.3691,29,May
6/1/1992,70.3503,30,Jun
7/1/1992,76.5625,31,Jul
8/1/1992,75.6294,32,Aug
9/1/1992,71.4815,33,Sep
10/1/1992,68.1996,34,Oct
11/1/1992,72.6137,35,Nov
12/1/1992,83.5122,36,Dec
1/1/1993,86.9075,37,Jan
2/1/1993,83.5222,38,Feb
3/1/1993,78.4952,39,Mar
4/1/1993,70.2059,40,Apr
5/1/1993,66.8942,41,May
6/1/1993,73.434,42,Jun
7/1/1993,81.1037,43,Jul
8/1/1993,81.0584,44,Aug
9/1/1993,73.7118,45,Sep
10/1/1993,68.8295,46,Oct
11/1/1993,73.5103,47,Nov
12/1/1993,83.2021,48,Dec
1/1/1994,92.9882,49,Jan
2/1/1994,86.0965,50,Feb
3/1/1994,78.2851,51,Mar
4/1/1994,70.1159,52,Apr
5/1/1994,68.5513,53,May
6/1/1994,77.0279,54,Jun
7/1/1994,82.2779,55,Jul
8/1/1994,80.9022,56,Aug
9/1/1994,74.7813,57,Sep
10/1/1994,70.4098,58,Oct
11/1/1994,74.3452,59,Nov
12/1/1994,83.8032,60,Dec
1/1/1995,91.3525,61,Jan
2/1/1995,86.3543,62,Feb
3/1/1995,80.2998,63,Mar
4/1/1995,72.9369,64,Apr
5/1/1995,72.3997,65,May
6/1/1995,77.3741,66,Jun
7/1/1995,84.9511,67,Jul
8/1/1995,88.4615,68,Aug
9/1/1995,77.5651,69,Sep
10/1/1995,72.8282,70,Oct
11/1/1995,78.694,71,Nov
12/1/1995,89.7292,72,Dec
1/1/1996,97.7824,73,Jan
2/1/1996,91.774,74,Feb
3/1/1996,85.9016,75,Mar
4/1/1996,76.3115,76,Apr
5/1/1996,75.7817,77,May
6/1/1996,80.965,78,Jun
7/1/1996,84.9409,79,Jul
8/1/1996,85.5239,80,Aug
9/1/1996,78.253,81,Sep
10/1/1996,73.7893,82,Oct
11/1/1996,80.0827,83,Nov
12/1/1996,89.394,84,Dec
1/1/1997,97.2696,85,Jan
2/1/1997,88.7002,86,Feb
3/1/1997,82.0203,87,Mar
4/1/1997,75.2356,88,Apr
5/1/1997,72.9685,89,May
6/1/1997,78.8157,90,Jun
7/1/1997,87.3884,91,Jul
8/1/1997,86.7303,92,Aug
9/1/1997,80.9496,93,Sep
10/1/1997,76.5628,94,Oct
11/1/1997,81.0481,95,Nov
12/1/1997,90.9793,96,Dec
1/1/1998,93.6466,97,Jan
2/1/1998,86.7649,98,Feb
3/1/1998,85.5126,99,Mar
4/1/1998,75.8301,100,Apr
5/1/1998,77.0933,101,May
6/1/1998,85.4139,102,Jun
7/1/1998,92.6986,103,Jul
8/1/1998,92.3909,104,Aug
9/1/1998,86.4769,105,Sep
10/1/1998,79.1267,106,Oct
11/1/1998,80.4512,107,Nov
12/1/1998,90.5782,108,Dec
1/1/1999,100.9127,109,Jan
2/1/1999,90.0975,110,Feb
3/1/1999,89.6607,111,Mar
4/1/1999,79.5406,112,Apr
5/1/1999,78.4448,113,May
6/1/1999,86.8009,114,Jun
7/1/1999,96.3116,115,Jul
8/1/1999,95.2534,116,Aug
9/1/1999,86.1785,117,Sep
10/1/1999,79.6538,118,Oct
11/1/1999,81.205,119,Nov
12/1/1999,93.3554,120,Dec
1/1/2000,100.9623,121,Jan
2/1/2000,93.1065,122,Feb
3/1/2000,87.0234,123,Mar
4/1/2000,80.4433,124,Apr
5/1/2000,83.4549,125,May
6/1/2000,89.9617,126,Jun
7/1/2000,94.8591,127,Jul
8/1/2000,98.1809,128,Aug
9/1/2000,89.5896,129,Sep
10/1/2000,82.1295,130,Oct
11/1/2000,86.9245,131,Nov
12/1/2000,101.1524,132,Dec
1/1/2001,107.7043,133,Jan
2/1/2001,95.9369,134,Feb
3/1/2001,91.663,135,Mar
4/1/2001,81.8884,136,Apr
5/1/2001,81.5431,137,May
6/1/2001,89.3072,138,Jun
7/1/2001,94.8859,139,Jul
8/1/2001,98.3186,140,Aug
