DATE,IPG2211A2N
1/1/1990,83.3773
2/1/1990,76.2628
3/1/1990,72.3211
4/1/1990,66.4534
5/1/1990,65.026
6/1/1990,70.5806
7/1/1990,75.6871
8/1/1990,76.1686
9/1/1990,72.1797
10/1/1990,66.6111
11/1/1990,67.7378
12/1/1990,76.7512
1/1/1991,84.9993
2/1/1991,76.6377
3/1/1991,72.5039
4/1/1991,66.3463
5/1/1991,67.9893
6/1/1991,73.9596
7/1/1991,79.1456
8/1/1991,78.2162
9/1/1991,72.7073
10/1/1991,67.9247
11/1/1991,71.6268
12/1/1991,78.5451
1/1/1992,84.2749
2/1/1992,79.2137
3/1/1992,73.6199
4/1/1992,68.791
5/1/1992,66.3691
6/1/1992,70.3503
7/1/1992,76.5625
8/1/1992,75.6294
9/1/1992,71.4815
10/1/1992,68.1996
11/1/1992,72.6137
12/1/1992,83.5122
1/1/1993,86.9075
2/1/1993,83.5222
3/1/1993,78.4952
4/1/1993,70.2059
5/1/1993,66.8942
6/1/1993,73.434
7/1/1993,81.1037
8/1/1993,81.0584
9/1/1993,73.7118
10/1/1993,68.8295
11/1/1993,73.5103
12/1/1993,83.2021
1/1/1994,92.9882
2/1/1994,86.0965
3/1/1994,78.2851
4/1/1994,70.1159
5/1/1994,68.5513
6/1/1994,77.0279
7/1/1994,82.2779
8/1/1994,80.9022
9/1/1994,74.7813
10/1/1994,70.4098
11/1/1994,74.3452
12/1/1994,83.8032
1/1/1995,91.3525
2/1/1995,86.3543
3/1/1995,80.2998
4/1/1995,72.9369
5/1/1995,72.3997
6/1/1995,77.3741
7/1/1995,84.9511
8/1/1995,88.4615
9/1/1995,77.5651
10/1/1995,72.8282
11/1/1995,78.694
12/1/1995,89.7292
1/1/1996,97.7824
2/1/1996,91.774
3/1/1996,85.9016
4/1/1996,76.3115
5/1/1996,75.7817
6/1/1996,80.965
7/1/1996,84.9409
8/1/1996,85.5239
9/1/1996,78.253
10/1/1996,73.7893
11/1/1996,80.0827
12/1/1996,89.394
1/1/1997,97.2696
2/1/1997,88.7002
3/1/1997,82.0203
4/1/1997,75.2356
5/1/1997,72.9685
6/1/1997,78.8157
7/1/1997,87.3884
8/1/1997,86.7303
9/1/1997,80.9496
10/1/1997,76.5628
11/1/1997,81.0481
12/1/1997,90.9793
1/1/1998,93.6466
2/1/1998,86.7649
3/1/1998,85.5126
4/1/1998,75.8301
5/1/1998,77.0933
6/1/1998,85.4139
7/1/1998,92.6986
8/1/1998,92.3909
9/1/1998,86.4769
10/1/1998,79.1267
11/1/1998,80.4512
12/1/1998,90.5782
