Date,Oil Price
Jan/80,32.500
Feb/80,37.000
Mar/80,38.000
Apr/80,39.500
May/80,39.500
Jun/80,39.500
Jul/80,39.500
Aug/80,38.000
Sep/80,36.000
Oct/80,36.000
Nov/80,36.000
Dec/80,37.000
Jan/81,38.000
Feb/81,38.000
Mar/81,38.000
Apr/81,38.000
May/81,38.000
Jun/81,36.000
Jul/81,36.000
Aug/81,36.000
Sep/81,36.000
Oct/81,35.000
Nov/81,36.000
Dec/81,35.000
Jan/82,33.850
Feb/82,31.560
Mar/82,28.480
Apr/82,33.450
May/82,35.930
Jun/82,35.070
Jul/82,34.160
Aug/82,33.950
Sep/82,35.630
Oct/82,35.680
Nov/82,34.150
Dec/82,31.720
Jan/83,31.190
Feb/83,28.950
Mar/83,28.820
Apr/83,30.610
May/83,30.000
Jun/83,31.000
Jul/83,31.660
Aug/83,31.910
Sep/83,31.110
Oct/83,30.410
Nov/83,29.840
Dec/83,29.240
Jan/84,29.690
Feb/84,30.145
Mar/84,30.761
Apr/84,30.618
May/84,30.520
Jun/84,29.967
Jul/84,28.752
Aug/84,29.250
Sep/84,29.311
Oct/84,28.765
Nov/84,28.098
Dec/84,25.429
Jan/85,25.641
Feb/85,27.271
Mar/85,28.238
Apr/85,28.805
May/85,27.623
Jun/85,27.143
Jul/85,27.329
Aug/85,27.755
Sep/85,28.289
Oct/85,29.538
Nov/85,30.813
Dec/85,27.228
Jan/86,22.945
Feb/86,15.442
Mar/86,12.618
Apr/86,12.847
May/86,15.444
Jun/86,13.469
Jul/86,11.575
Aug/86,15.092
Sep/86,14.913
Oct/86,14.852
Nov/86,15.207
Dec/86,16.076
Jan/87,18.656
Feb/87,17.726
Mar/87,18.305
Apr/87,18.643
May/87,19.415
Jun/87,20.034
Jul/87,21.355
Aug/87,20.274
Sep/87,19.526
Oct/87,19.848
Nov/87,18.920
Dec/87,17.241
Jan/88,17.160
Feb/88,16.765
Mar/88,16.217
Apr/88,17.875
May/88,17.438
Jun/88,16.530
Jul/88,15.498
Aug/88,15.524
Sep/88,14.467
Oct/88,13.798
Nov/88,13.977
Dec/88,16.266
Jan/89,17.983
Feb/89,17.826
