Date,spot,ln(spot),Random Walk forecast,"forecast errors, e","squared  errors, e2",|e|,|e/y|
1973.01,2.3563,0.857071372,,,,,
1973.02,2.4272,0.886749774,,,,,
1973.03,2.4724,0.905191177,,,,,
1973.04,2.4837,0.909762805,,,,,
1973.05,2.5306,0.92845104,,,,,
1973.06,2.5762,0.946296961,,,,,
1973.07,2.5375,0.931169961,,,,,
1973.08,2.4757,0.906512647,,,,,
1973.09,2.4183,0.883056108,,,,,
1973.10,2.4292,0.887556104,,,,,
1973.11,2.3870,0.870031063,,,,,
1973.12,2.3174,0.84043508,,,,,
1974.01,2.2240,0.799297157,,,,,
1974.02,2.2749,0.821931211,,,,,
1974.03,2.3406,0.850425617,,,,,
1974.04,2.3886,0.870713129,,,,,
1974.05,2.4137,0.881153307,,,,,
1974.06,2.3902,0.871366585,,,,,
1974.07,2.3896,0.871114575,,,,,
1974.08,2.3456,0.852548984,,,,,
1974.09,2.3165,0.840076852,,,,,
1974.10,2.3330,0.847139406,,,,,
1974.11,2.3252,0.8437965,,,,,
1974.12,2.3294,0.845600502,,,,,
1975.01,2.3623,0.859635721,,,,,
1975.02,2.3958,0.873731117,,,,,
1975.03,2.4180,0.882923028,,,,,
1975.04,2.3707,0.86319294,,,,,
1975.05,2.3205,0.841768315,,,,,
1975.06,2.2803,0.824319543,,,,,
1975.07,2.1845,0.781401535,,,,,
1975.08,2.1143,0.748728293,,,,,
1975.09,2.0834,0.734014888,,,,,
1975.10,2.0568,0.721171266,,,,,
1975.11,2.0484,0.717073359,,,,,
1975.12,2.0221,0.704116344,,,,,
1976.01,2.0286,0.707341205,,,,,
1976.02,2.0262,0.706167601,,,,,
1976.03,1.9428,0.664105614,,,,,
1976.04,1.8463,0.613198408,,,,,
1976.05,1.8079,0.592190841,,,,,
1976.06,1.7640,0.567571074,,,,,
1976.07,1.7850,0.579426418,,,,,
1976.08,1.7828,0.578203009,,,,,
1976.09,1.7272,0.546504357,,,,,
1976.10,1.6377,0.493308084,,,,,
1976.11,1.6381,0.493527395,,,,,
1976.12,1.6784,0.517833187,,,,,
1977.01,1.7124,0.537907019,,,,,
1977.02,1.7103,0.536687258,,,,,
1977.03,1.7174,0.540816583,,,,,
1977.04,1.7190,0.541762117,,,,,
1977.05,1.7185,0.541424107,,,,,
1977.06,1.7191,0.541824695,,,,,
1977.07,1.7226,0.543834777,,,,,
1977.08,1.7397,0.553687692,,,,,
1977.09,1.7431,0.555686992,,,,,
1977.10,1.7711,0.57158953,,,,,
1977.11,1.8178,0.597618293,,,,,
1977.12,1.8546,0.617656201,,,,,
1978.01,1.9353,0.660245129,,,,,
1978.02,1.9396,0.662498952,,,,,
1978.03,1.9055,0.644728469,,,,,
1978.04,1.8497,0.615012651,,,,,
1978.05,1.8181,0.5977945,,,,,
1978.06,1.8372,0.608267414,,,,,
1978.07,1.8949,0.639163428,,,,,
1978.08,1.9406,0.662997204,,,,,
1978.09,1.9595,0.672704649,,,,,
1978.10,2.0075,0.696911515,,,,,
1978.11,1.9608,0.673329603,,,,,
1978.12,1.9861,0.686177952,,,,,
1979.01,2.0053,0.695802742,,,,,
1979.02,2.0042,0.695264382,,,,,
1979.03,2.0378,0.711859642,,,,,
1979.04,2.0735,0.729215035,,,,,
1979.05,2.0587,0.722085755,,,,,
1979.06,2.1119,0.7476038,,,,,
1979.07,2.2598,0.815284743,,,,,
1979.08,2.2368,0.805030723,,,,,
1979.09,2.1966,0.78689873,,,,,
1979.10,2.1438,0.762558752,,,,,
1979.11,2.1352,0.758577574,,,,,
1979.12,2.2007,0.788764131,,,,,
