Month,Air RPM,Rail PM,VMT
Jan-90,69003617000.00,664013874.00,261300000000.00
Feb-90,68573410000.00,633450001.00,259600000000.00
Mar-90,67883256000.00,627359211.00,256244000000.00
Apr-90,66924512000.00,618571581.00,254194000000.00
May-90,65524091000.00,611839976.00,253400000000.00
Jun-90,65041408000.00,610774196.00,253200000000.00
Jul-90,64987625000.00,609210368.00,252000000000.00
Aug-90,64397523000.00,603845247.00,251688000000.00
Sep-90,64095456000.00,587905914.00,249886000000.00
Oct-90,63752132000.00,587229076.00,248785000000.00
Nov-90,63600019000.00,586861727.00,247770000000.00
Dec-90,62881793000.00,580982161.00,247500000000.00
Jan-91,62570110000.00,580500717.00,246389000000.00
Feb-91,62323049000.00,578767927.00,245400000000.00
Mar-91,61887720000.00,578257564.00,245083000000.00
Apr-91,61378569000.00,572167273.00,244252000000.00
May-91,61165486000.00,572122965.00,244198000000.00
Jun-91,60813085000.00,571259638.00,243289000000.00
Jul-91,60496856000.00,570694457.00,243012000000.00
Aug-91,60246477000.00,568289732.00,242579000000.00
Sep-91,60224150000.00,568101697.00,242568000000.00
Oct-91,59918608000.00,566342448.00,242108000000.00
Nov-91,59801562000.00,564747276.00,240000000000.00
Dec-91,59441840000.00,564046073.00,239944000000.00
Jan-92,59426357000.00,564037290.00,238100000000.00
Feb-92,58981617000.00,562429065.00,237600000000.00
Mar-92,58834210000.00,562266005.00,237143000000.00
Apr-92,58771317000.00,559205172.00,237016000000.00
May-92,58714135000.00,558060051.00,236713000000.00
Jun-92,57795908000.00,557897322.00,236700000000.00
Jul-92,57761057000.00,554039017.00,236554000000.00
Aug-92,57423155000.00,552486079.00,236000000000.00
Sep-92,57407208000.00,551695523.00,234809000000.00
Oct-92,57335447000.00,551397116.00,234661000000.00
Nov-92,56576582000.00,550795984.00,234005000000.00
Dec-92,56441629000.00,546898075.00,233497000000.00
Jan-93,56283261000.00,546043825.00,233300000000.00
Feb-93,56033121000.00,543923323.00,232627000000.00
Mar-93,55810667000.00,542693418.00,231814000000.00
Apr-93,55663570000.00,540293509.00,231489000000.00
May-93,55469960000.00,539769246.00,231365000000.00
Jun-93,55462027000.00,539628385.00,231262000000.00
Jul-93,55380280000.00,538313763.00,230597000000.00
Aug-93,55355434000.00,537481124.00,229479000000.00
Sep-93,54968382000.00,534476186.00,229385000000.00
Oct-93,54776466000.00,531971149.00,228732000000.00
Nov-93,54755166000.00,531619395.00,228523000000.00
Dec-93,54453961000.00,531138943.00,228389000000.00
Jan-94,54302581000.00,528690495.00,228087000000.00
Feb-94,53866781000.00,528001216.00,227901000000.00
Mar-94,53774378000.00,526444502.00,227808000000.00
Apr-94,53733696000.00,525954361.00,227328000000.00
May-94,53591384000.00,524008197.00,226082000000.00
Jun-94,53463147000.00,517102460.00,225440000000.00
Jul-94,53447972000.00,516516158.00,225303000000.00
Aug-94,53345749000.00,516429873.00,224571000000.00
Sep-94,53249129000.00,516103068.00,222831000000.00
Oct-94,53235052000.00,514253920.00,222799000000.00
Nov-94,53219046000.00,511120586.00,222458000000.00
Dec-94,53129922000.00,509488334.00,222254000000.00
Jan-95,53044174000.00,509037626.00,221979000000.00
Feb-95,53013066000.00,507702230.00,221739000000.00
Mar-95,52779975000.00,503041903.00,221219000000.00
Apr-95,52608801000.00,501353952.00,219873000000.00
May-95,52410979000.00,500349189.00,219461000000.00
Jun-95,52331272000.00,499751748.00,218999000000.00
Jul-95,51979543000.00,496553598.00,218436000000.00
Aug-95,51846329000.00,496467387.00,217921000000.00
Sep-95,51646570000.00,494557648.00,217719000000.00
Oct-95,51347366000.00,493619903.00,217300000000.00
Nov-95,51146721000.00,493541137.00,216600000000.00
Dec-95,51024977000.00,490903635.00,216304000000.00
Jan-96,50807813000.00,490779357.00,215972000000.00
Feb-96,50602700000.00,490032783.00,215871000000.00
Mar-96,50451675000.00,489484678.00,215046000000.00
Apr-96,50414361000.00,489403554.00,214777000000.00
May-96,50182894000.00,489360683.00,214222000000.00
Jun-96,50076953000.00,489299178.00,213808000000.00
Jul-96,49992995000.00,488444939.00,213564000000.00
Aug-96,49992583000.00,483653074.00,213548000000.00
Sep-96,49876910000.00,482325897.00,212282000000.00
Oct-96,49873317000.00,481725263.00,211952000000.00
Nov-96,49808809000.00,481053743.00,211290000000.00
Dec-96,49745428000.00,479188434.00,211178000000.00
Jan-97,49561082000.00,478204759.00,210400000000.00
Feb-97,49560508000.00,477594716.00,209809000000.00
Mar-97,49361193000.00,476554648.00,209603000000.00
Apr-97,48925997000.00,473751011.00,209259000000.00
May-97,48902677000.00,472917856.00,207908000000.00
Jun-97,48861094000.00,472573962.00,207322000000.00
Jul-97,48763670000.00,472359118.00,207281000000.00
Aug-97,48622037000.00,471116666.00,206990000000.00
Sep-97,48169096000.00,469504489.00,206882000000.00
Oct-97,48167518000.00,467573082.00,206595000000.00
Nov-97,48164550000.00,463567851.00,206462000000.00
Dec-97,48063492000.00,463025617.00,205952000000.00
Jan-98,47857913000.00,462376555.00,205557000000.00
Feb-98,47743798000.00,462341914.00,205016000000.00
Mar-98,47390145000.00,462329685.00,204469000000.00
Apr-98,47290992000.00,462084011.00,204323000000.00
May-98,46993036000.00,461651082.00,204046922082.44
Jun-98,46692784000.00,461648459.00,203582000000.00
Jul-98,46587818000.00,461280157.00,202864000000.00
Aug-98,46455943000.00,461087451.00,202422000000.00
Sep-98,46158194000.00,459051399.00,202408000000.00
Oct-98,45915722000.00,455496342.00,201900000000.00
Nov-98,45845403000.00,454400575.00,201754000000.00
Dec-98,45770315000.00,454115779.00,200511000000.00
Jan-99,45754460000.00,453147413.00,199937000000.00
Feb-99,45589237000.00,453096388.00,199909000000.00
Mar-99,45433842000.00,453014590.00,199638000000.00
Apr-99,45427499000.00,452095235.00,199527000000.00
May-99,45384965000.00,451385426.00,199386000000.00
Jun-99,45245063000.00,450054655.00,198371199124.96
Jul-99,45157533000.00,448912584.00,197764000000.00
Aug-99,45015358000.00,448246102.00,197490000000.00
Sep-99,44696485000.00,448181812.00,196985000000.00
Oct-99,44679864000.00,447877815.00,196871000000.00
Nov-99,44677623000.00,446489429.00,196674157670.04
Dec-99,44641209000.00,446266947.00,196189000000.00
Jan-00,44297210000.00,446094295.00,195409000000.00
Feb-00,44271037000.00,445858326.00,195408000000.00
Mar-00,43868116000.00,444719403.00,195095000000.00
Apr-00,43761932000.00,444598571.00,195090029789.40
May-00,43703386000.00,444032624.00,194585000000.00
Jun-00,43264475000.00,442742459.00,194436000000.00
Jul-00,43056589000.00,442268378.00,193737000000.00
Aug-00,42819023000.00,441249575.00,193451849074.41
Sep-00,42734234000.00,441202778.00,193086000000.00
Oct-00,42418163000.00,437256586.00,192333000000.00
Nov-00,42230318000.00,436837107.00,191914709033.00
Dec-00,42199760000.00,435470011.00,191159000000.00
Jan-01,42133943000.00,435360347.00,190126000000.00
Feb-01,42058882000.00,435086002.00,190073000000.00
Mar-01,42050940000.00,430364874.00,189159078008.95
Apr-01,41677832000.00,427807444.00,188876170780.76
May-01,41564915000.00,427669956.00,188709000000.00
Jun-01,40814097000.00,426172239.00,188430569997.53
Jul-01,40610043000.00,425991795.00,187842000000.00
Aug-01,40578092000.00,425897553.00,187167000000.00
Sep-01,39993913000.00,425814893.00,186802000000.00
Oct-01,39728367000.00,425207429.00,186320000000.00
Nov-01,39724539000.00,425092726.00,184030000000.00
Dec-01,39106905000.00,421595015.00,183951000000.00
Jan-02,39062110000.00,416925515.00,183737000000.00
Feb-02,39051877000.00,416042895.00,183617000000.00
Mar-02,39045016000.00,412344840.00,183579670410.99
Apr-02,38869421000.00,410338691.00,182296000000.00
May-02,38868799000.00,408488665.00,182274619592.72
Jun-02,38863562000.00,399248774.00,181245000000.00
Jul-02,38580784000.00,398440459.00,179524665005.01
