Month,Air RPM,Rail PM,VMT
Jan-90,"35,153,577,000","454,115,779","163,275,383,527"
Feb-90,"32,965,187,000","435,086,002","153,254,408,768"
Mar-90,"39,993,913,000","568,289,732","178,417,577,159"
Apr-90,"37,981,886,000","568,101,697","178,680,685,639"
May-90,"38,419,672,000","539,628,385","188,876,170,781"
Jun-90,"42,819,023,000","570,694,457","189,159,078,009"
Jul-90,"45,770,315,000","618,571,581","195,090,029,789"
Aug-90,"48,763,670,000","609,210,368","196,674,157,670"
Sep-90,"38,173,223,000","488,444,939","178,065,364,213"
Oct-90,"39,051,877,000","514,253,920","182,274,619,593"
Nov-90,"35,699,216,000","516,429,873","171,225,987,744"
Dec-90,"37,444,088,000","531,619,395","168,287,533,712"
Jan-91,"34,848,290,000","496,467,387","157,876,834,362"
Feb-91,"29,672,427,000","469,504,489","153,339,406,664"
Mar-91,"36,202,993,000","587,905,914","179,062,119,688"
Apr-91,"37,146,602,000","509,488,334","179,524,665,005"
May-91,"38,869,421,000","566,342,448","191,914,709,033"
Jun-91,"42,199,760,000","603,845,247","193,451,849,074"
Jul-91,"45,384,965,000","633,450,001","198,371,199,125"
Aug-91,"48,164,550,000","664,013,874","204,046,922,082"
Sep-91,"38,481,957,000","494,557,648","183,579,670,411"
Oct-91,"39,062,110,000","509,037,626","188,430,569,998"
Nov-91,"34,688,141,000","472,359,118","169,679,970,920"
Dec-91,"38,575,165,000","550,795,984","172,769,097,075"
Jan-92,"35,265,807,000","493,541,137","167,886,000,000"
Feb-92,"33,868,884,000","462,084,011","160,425,000,000"
Mar-92,"39,724,539,000","559,205,172","184,030,000,000"
Apr-92,"37,294,373,000","572,122,965","186,320,000,000"
May-92,"39,728,367,000","546,043,825","196,985,000,000"
Jun-92,"45,754,460,000","478,204,759","197,490,000,000"
Jul-92,"50,807,813,000","610,774,196","206,882,000,000"
Aug-92,"53,219,046,000","627,359,211","205,016,000,000"
Sep-92,"41,564,915,000","516,516,158","191,159,000,000"
Oct-92,"40,578,092,000","538,313,763","195,095,000,000"
Nov-92,"36,863,415,000","539,769,246","177,618,000,000"
Dec-92,"39,045,016,000","551,397,116","181,245,000,000"
Jan-93,"37,911,556,000","500,349,189","171,655,000,000"
Feb-93,"34,902,869,000","461,280,157","162,820,000,000"
Mar-93,"42,058,882,000","534,476,186","187,842,000,000"
