Month,Air Revenue Passenger Miles,Rail Passenger Miles,Vehicle Miles Travelled 
Jan-90,35.15,0.45,163.28
Feb-90,32.97,0.44,153.25
Mar-90,39.99,0.57,178.42
Apr-90,37.98,0.57,178.68
May-90,38.42,0.54,188.88
Jun-90,42.82,0.57,189.16
Jul-90,45.77,0.62,195.09
Aug-90,48.76,0.61,196.67
Sep-90,38.17,0.49,178.07
Oct-90,39.05,0.51,182.27
Nov-90,35.70,0.52,171.23
Dec-90,37.44,0.53,168.29
Jan-91,34.85,0.50,157.88
Feb-91,29.67,0.47,153.34
Mar-91,36.20,0.59,179.06
Apr-91,37.15,0.51,179.52
May-91,38.87,0.57,191.91
Jun-91,42.20,0.60,193.45
Jul-91,45.38,0.63,198.37
Aug-91,48.16,0.66,204.05
Sep-91,38.48,0.49,183.58
Oct-91,39.06,0.51,188.43
Nov-91,34.69,0.47,169.68
Dec-91,38.58,0.55,172.77
Jan-92,35.27,0.49,167.89
Feb-92,33.87,0.46,160.43
Mar-92,39.72,0.56,184.03
Apr-92,37.29,0.57,186.32
May-92,39.73,0.55,196.99
Jun-92,45.75,0.48,197.49
Jul-92,50.81,0.61,206.88
Aug-92,53.22,0.63,205.02
Sep-92,41.56,0.52,191.16
Oct-92,40.58,0.54,195.10
Nov-92,36.86,0.54,177.62
Dec-92,39.05,0.55,181.25
Jan-93,37.91,0.50,171.66
Feb-93,34.90,0.46,162.82
Mar-93,42.06,0.53,187.84
Apr-93,40.81,0.56,188.71
May-93,42.13,0.55,205.95
Jun-93,44.68,0.58,199.39
Jul-93,48.62,0.59,209.81
Aug-93,50.45,0.61,209.60
Sep-93,41.68,0.50,193.74
Oct-93,43.26,0.51,197.76
Nov-93,38.87,0.49,182.30
Dec-93,40.61,0.50,186.80
Jan-94,38.86,0.47,169.31
Feb-94,36.07,0.46,166.45
Mar-94,45.43,0.57,196.19
Apr-94,42.42,0.55,195.41
May-94,44.30,0.52,206.60
Jun-94,48.17,0.53,207.28
Jul-94,52.41,0.58,214.78
Aug-94,53.24,0.59,215.05
Sep-94,44.68,0.49,200.51
Oct-94,45.85,0.49,202.86
Nov-94,42.23,0.48,190.07
Dec-94,43.87,0.49,193.09
Jan-95,42.05,0.43,183.62
Feb-95,38.58,0.39,172.52
Mar-95,47.39,0.49,202.41
Apr-95,45.43,0.49,199.53
May-95,45.92,0.51,213.56
Jun-95,49.99,0.54,212.28
Jul-95,53.35,0.57,217.72
Aug-95,54.78,0.58,219.87
Sep-95,45.59,0.45,204.32
Oct-95,46.99,0.44,206.99
Nov-95,43.70,0.44,195.41
Dec-95,45.02,0.44,194.59
Jan-96,42.73,0.36,183.74
Feb-96,43.06,0.34,176.82
Mar-96,51.65,0.42,204.47
Apr-96,48.06,0.43,205.56
May-96,49.81,0.47,219.00
Jun-96,53.77,0.48,215.87
Jul-96,56.58,0.53,225.44
Aug-96,58.71,0.55,229.39
Sep-96,47.86,0.41,207.91
Oct-96,49.87,0.43,215.97
Nov-96,44.70,0.39,199.94
Dec-96,49.36,0.44,201.75
Jan-97,46.69,0.34,190.13
Feb-97,43.76,0.34,183.95
Mar-97,54.76,0.42,211.95
Apr-97,50.18,0.41,211.29
May-97,51.98,0.44,226.08
Jun-97,55.46,0.48,222.25
Jul-97,58.77,0.54,236.71
Aug-97,60.50,0.55,233.50
Sep-97,50.08,0.43,213.55
Oct-97,51.85,0.45,221.22
Nov-97,47.74,0.44,202.42
Dec-97,50.41,0.45,207.32
Jan-98,47.29,0.37,196.87
Feb-98,44.64,0.33,187.17
Mar-98,54.45,0.43,214.22
Apr-98,53.04,0.45,217.92
May-98,54.30,0.46,227.90
Jun-98,57.34,0.48,228.73
Jul-98,59.44,0.54,239.94
Aug-98,60.81,0.53,237.14
Sep-98,49.56,0.43,219.46
Oct-98,53.46,0.44,228.52
Nov-98,49.56,0.43,211.18
Dec-98,51.02,0.46,216.30
Jan-99,48.86,0.38,194.44
Feb-99,46.16,0.35,192.33
Mar-99,57.76,0.44,221.74
Apr-99,54.97,0.44,221.98
May-99,55.47,0.45,231.81
Jun-99,59.92,0.50,237.02
Jul-99,64.40,0.54,244.20
Aug-99,63.75,0.53,242.57
Sep-99,53.73,0.39,225.30
Oct-99,57.41,0.43,234.66
Nov-99,53.87,0.42,222.83
Dec-99,52.33,0.44,222.46
Jan-00,49.75,0.37,203.58
Feb-00,49.88,0.37,199.64
Mar-00,61.38,0.45,232.63
Apr-00,58.98,0.47,227.81
May-00,61.17,0.48,242.11
Jun-00,65.52,0.52,243.01
Jul-00,67.88,0.56,245.08
Aug-00,66.92,0.56,247.77
Sep-00,56.44,0.45,227.33
Oct-00,58.83,0.46,236.55
Nov-00,56.28,0.44,222.80
Dec-00,55.38,0.46,218.44
Jan-01,53.13,0.38,209.26
Feb-01,49.99,0.37,199.91
Mar-01,62.32,0.45,231.49
Apr-01,59.80,0.46,231.37
May-01,60.25,0.46,244.25
Jun-01,64.99,0.53,242.58
Jul-01,68.57,0.56,248.79
Aug-01,69.00,0.56,251.69
Sep-01,39.11,0.45,224.57
Oct-01,44.27,0.45,240.00
Nov-01,45.25,0.45,229.48
Dec-01,48.17,0.48,228.09
Jan-02,46.59,0.40,213.81
Feb-02,45.16,0.40,206.46
Mar-02,57.42,0.46,234.01
Apr-02,53.01,0.45,234.81
May-02,55.66,0.46,249.89
Jun-02,60.22,0.50,246.39
Jul-02,62.57,0.56,254.19
Aug-02,62.88,0.52,256.24
Sep-02,48.93,0.39,230.60
Oct-02,52.78,0.40,243.29
Nov-02,48.90,0.38,228.39
Dec-02,55.36,0.45,231.26
Jan-03,50.60,0.39,216.60
Feb-03,46.46,0.39,201.90
Mar-03,56.03,0.47,236.70
