Date,spot,t
1973.01,2.3563,1
1973.02,2.4272,2
1973.03,2.4724,3
1973.04,2.4837,4
1973.05,2.5306,5
1973.06,2.5762,6
1973.07,2.5375,7
1973.08,2.4757,8
1973.09,2.4183,9
1973.1,2.4292,10
1973.11,2.387,11
1973.12,2.3174,12
1974.01,2.224,13
1974.02,2.2749,14
1974.03,2.3406,15
1974.04,2.3886,16
1974.05,2.4137,17
1974.06,2.3902,18
1974.07,2.3896,19
1974.08,2.3456,20
1974.09,2.3165,21
1974.1,2.333,22
1974.11,2.3252,23
1974.12,2.3294,24
1975.01,2.3623,25
1975.02,2.3958,26
1975.03,2.418,27
1975.04,2.3707,28
1975.05,2.3205,29
1975.06,2.2803,30
1975.07,2.1845,31
1975.08,2.1143,32
1975.09,2.0834,33
1975.1,2.0568,34
1975.11,2.0484,35
1975.12,2.0221,36
1976.01,2.0286,37
1976.02,2.0262,38
1976.03,1.9428,39
1976.04,1.8463,40
1976.05,1.8079,41
1976.06,1.764,42
1976.07,1.785,43
1976.08,1.7828,44
1976.09,1.7272,45
1976.1,1.6377,46
1976.11,1.6381,47
1976.12,1.6784,48
1977.01,1.7124,49
1977.02,1.7103,50
1977.03,1.7174,51
1977.04,1.719,52
1977.05,1.7185,53
1977.06,1.7191,54
1977.07,1.7226,55
1977.08,1.7397,56
1977.09,1.7431,57
1977.1,1.7711,58
1977.11,1.8178,59
1977.12,1.8546,60
1978.01,1.9353,61
1978.02,1.9396,62
1978.03,1.9055,63
1978.04,1.8497,64
1978.05,1.8181,65
1978.06,1.8372,66
1978.07,1.8949,67
1978.08,1.9406,68
1978.09,1.9595,69
1978.1,2.0075,70
1978.11,1.9608,71
1978.12,1.9861,72
1979.01,2.0053,73
1979.02,2.0042,74
1979.03,2.0378,75
1979.04,2.0735,76
1979.05,2.0587,77
1979.06,2.1119,78
1979.07,2.2598,79
1979.08,2.2368,80
1979.09,2.1966,81
1979.1,2.1438,82
1979.11,2.1352,83
1979.12,2.2007,84
1980.01,2.2641,85
1980.02,2.2891,86
1980.03,2.2045,87
1980.04,2.2094,88
1980.05,2.302,89
1980.06,2.3359,90
1980.07,2.3732,91
1980.08,2.3704,92
1980.09,2.4012,93
1980.1,2.4165,94
1980.11,2.3941,95
1980.12,2.3459,96
1981.01,2.4029,97
1981.02,2.2941,98
1981.03,2.2319,99
1981.04,2.1753,100
1981.05,2.0884,101
1981.06,1.9738,102
1981.07,1.8737,103
1981.08,1.8203,104
1981.09,1.8146,105
1981.1,1.8407,106
1981.11,1.9025,107
1981.12,1.9033,108
1982.01,1.886,109
1982.02,1.847,110
1982.03,1.8053,111
1982.04,1.772,112
1982.05,1.8104,113
1982.06,1.7563,114
1982.07,1.7354,115
1982.08,1.725,116
1982.09,1.712,117
1982.1,1.6962,118
1982.11,1.6321,119
1982.12,1.616,120
1983.01,1.5756,121
1983.02,1.5329,122
1983.03,1.49,123
1983.04,1.5361,124
1983.05,1.5722,125
1983.06,1.548,126
1983.07,1.5273,127
1983.08,1.5026,128
1983.09,1.4986,129
1983.1,1.4969,130
1983.11,1.4766,131
1983.12,1.4338,132
1984.01,1.4076,133
1984.02,1.4417,134
1984.03,1.4557,135
1984.04,1.421,136
1984.05,1.3894,137
1984.06,1.377,138
1984.07,1.32,139
1984.08,1.3132,140
1984.09,1.2563,141
1984.1,1.2196,142
1984.11,1.2392,143
1984.12,1.1861,144
1985.01,1.1271,145
1985.02,1.0931,146
1985.03,1.1253,147
1985.04,1.2377,148
1985.05,1.2483,149
1985.06,1.2808,150
1985.07,1.3807,151
1985.08,1.3841,152
1985.09,1.3642,153
1985.1,1.4215,154
1985.11,1.4396,155
1985.12,1.4447,156
1986.01,1.4244,157
1986.02,1.4297,158
1986.03,1.4674,159
1986.04,1.4985,160
1986.05,1.5211,161
1986.06,1.5085,162
1986.07,1.5071,163
1986.08,1.4861,164
1986.09,1.4698,165
1986.1,1.4264,166
1986.11,1.4238,167
1986.12,1.4393,168
1987.01,1.5054,169
1987.02,1.528,170
1987.03,1.5923,171
1987.04,1.6313,172
1987.05,1.6666,173
1987.06,1.6288,174
1987.07,1.609,175
1987.08,1.5996,176
1987.09,1.6446,177
1987.1,1.662,178
1987.11,1.7754,179
1987.12,1.8288,180
1988.01,1.8009,181
1988.02,1.7582,182
1988.03,1.833,183
1988.04,1.8782,184
1988.05,1.8695,185
1988.06,1.7768,186
1988.07,1.7051,187
1988.08,1.6965,188
1988.09,1.684,189
1988.1,1.7388,190
1988.11,1.8085,191
1988.12,1.8258,192
1989.01,1.7737,193
1989.02,1.7534,194
1989.03,1.7134,195
1989.04,1.7008,196
1989.05,1.6307,197
1989.06,1.553,198
1989.07,1.6268,199
1989.08,1.5947,200
1989.09,1.5715,201
1989.1,1.5874,202
1989.11,1.5726,203
1989.12,1.5965,204
1990.01,1.6512,205
1990.02,1.6961,206
1990.03,1.6245,207
1990.04,1.6372,208
1990.05,1.6774,209
1990.06,1.7103,210
1990.07,1.8098,211
1990.08,1.9013,212
1990.09,1.8794,213
1990.1,1.9456,214
1990.11,1.9642,215
1990.12,1.9219,216
1991.01,1.9346,217
1991.02,1.9641,218
1991.03,1.8214,219
1991.04,1.7497,220
1991.05,1.7238,221
1991.06,1.6497,222
1991.07,1.6513,223
1991.08,1.6841,224
1991.09,1.7265,225
1991.1,1.7231,226
1991.11,1.7796,227
1991.12,1.8272,228
1992.01,1.809,229
1992.02,1.7778,230
1992.03,1.7238,231
1992.04,1.7566,232
1992.05,1.8095,233
1992.06,1.8551,234
1992.07,1.9177,235
1992.08,1.9434,236
1992.09,1.8465,237
1992.1,1.6529,238
1992.11,1.5268,239
1992.12,1.551,240
1993.01,1.5325,241
1993.02,1.4395,242
1993.03,1.4617,243
1993.04,1.5447,244
1993.05,1.5477,245
1993.06,1.5082,246
1993.07,1.4955,247
1993.08,1.4914,248
1993.09,1.5248,249
1993.1,1.5023,250
1993.11,1.4808,251
1993.12,1.4913,252
1994.01,1.4923,253
1994.02,1.4792,254
1994.03,1.4919,255
1994.04,1.4823,256
1994.05,1.5042,257
1994.06,1.5262,258
1994.07,1.5467,259
1994.08,1.5422,260
1994.09,1.5661,261
1994.1,1.6064,262
1994.11,1.5892,263
1994.12,1.5587,264
1995.01,1.5746,265
1995.02,1.572,266
1995.03,1.6002,267
1995.04,1.6073,268
1995.05,1.5874,269
1995.06,1.5948,270
1995.07,1.5952,271
1995.08,1.5668,272
1995.09,1.559,273
1995.1,1.5779,274
1995.11,1.5625,275
1995.12,1.5405,276
1996.01,1.5288,277
1996.02,1.536,278
1996.03,1.5271,279
1996.04,1.516,280
1996.05,1.5152,281
1996.06,1.5416,282
1996.07,1.553,283
1996.08,1.5499,284
1996.09,1.5593,285
1996.1,1.5863,286
1996.11,1.6623,287
1996.12,1.6639,288
1997.01,1.6585,289
1997.02,1.6256,290
1997.03,1.6096,291
1997.04,1.6293,292
1997.05,1.6322,293
1997.06,1.6449,294
1997.07,1.6694,295
1997.08,1.6035,296
1997.09,1.6013,297
1997.1,1.633,298
1997.11,1.6889,299
1997.12,1.6597,300
1998.01,1.635,301
1998.02,1.6408,302
1998.03,1.6619,303
1998.04,1.6723,304
1998.05,1.6382,305
1998.06,1.6504,306
1998.07,1.6437,307
1998.08,1.6342,308
1998.09,1.6823,309
1998.1,1.6944,310
1998.11,1.6611,311
1998.12,1.6708,312
1999.01,1.6498,313
1999.02,1.6276,314
1999.03,1.6213,315
1999.04,1.6089,316
1999.05,1.6154,317
1999.06,1.595,318
1999.07,1.5751,319
1999.08,1.6058,320
1999.09,1.6247,321
1999.1,1.6572,322
1999.11,1.6205,323
1999.12,1.6132,324
2000.01,1.6404,325
2000.02,1.6,326
2000.03,1.5799,327
2000.04,1.5823,328
2000.05,1.509,329
2000.06,1.5092,330
2000.07,1.5076,331
2000.08,1.4889,332
2000.09,1.4336,333
2000.1,1.4506,334
2000.11,1.4258,335
2000.12,1.4629,336
2001.01,1.4775,337
2001.02,1.4525,338
2001.03,1.4445,339
2001.04,1.4348,340
2001.05,1.4265,341
2001.06,1.402,342
2001.07,1.4148,343
2001.08,1.4372,344
2001.09,1.4638,345
2001.1,1.4501,346
2001.11,1.4356,347
2001.12,1.4413,348
2002.01,1.4322,349
2002.02,1.4227,350
2002.03,1.423,351
2002.04,1.4429,352
2002.05,1.4598,353
2002.06,1.4837,354
2002.07,1.5565,355
2002.08,1.5368,356
2002.09,1.5563,357
2002.1,1.5575,358
2002.11,1.5711,359
2002.12,1.5863,360
2003.01,1.6175,361
2003.02,1.6079,362
2003.03,1.5825,363
2003.04,1.5739,364
2003.05,1.6224,365
2003.06,1.6609,366
2003.07,1.6221,367
2003.08,1.5939,368
2003.09,1.6155,369
2003.1,1.6792,370
2003.11,1.6897,371
2003.12,1.7516,372
2004.01,1.8255,373
2004.02,1.8673,374
2004.03,1.8261,375
2004.04,1.8031,376
2004.05,1.786,377
2004.06,1.8279,378
2004.07,1.8438,379
2004.08,1.8203,380
2004.09,1.7937,381
2004.1,1.8077,382
2004.11,1.8607,383
2004.12,1.9286,384
2005.01,1.8797,385
2005.02,1.8871,386
2005.03,1.9043,387
2005.04,1.8961,388
2005.05,1.8559,389
2005.06,1.8177,390
2005.07,1.7507,391
2005.08,1.7944,392
2005.09,1.8064,393
2005.1,1.7651,394
2005.11,1.7349,395
2005.12,1.7458,396
2006.01,1.7686,397
2006.02,1.748,398
2006.03,1.7442,399
2006.04,1.768,400
2006.05,1.8687,401
2006.06,1.8435,402
2006.07,1.8443,403
2006.08,1.8941,404
2006.09,1.8839,405
2006.1,1.8765,406
2006.11,1.9125,407
2006.12,1.9629,408
2007.01,1.9587,409
2007.02,1.9589,410
2007.03,1.9474,411
2007.04,1.9879,412
2007.05,1.9842,413
2007.06,1.9867,414
2007.07,2.0355,415
2007.08,2.011,416
2007.09,2.0184,417
2007.1,2.0449,418
2007.11,2.0701,419
2007.12,2.0161,420
2008.01,1.9702,421
2008.02,1.9646,422
2008.03,2.0015,423
2008.04,1.9816,424
2008.05,1.965,425
2008.06,1.9664,426
2008.07,1.9888,427
2008.08,1.8865,428
2008.09,1.7973,429
2008.1,1.6862,430
2008.11,1.5327,431
2008.12,1.4854,432
2009.01,1.4462,433
2009.02,1.4422,434
2009.03,1.417,435
2009.04,1.4712,436
2009.05,1.5418,437
2009.06,1.6369,438
2009.07,1.6378,439
2009.08,1.6532,440
2009.09,1.6323,441
2009.1,1.6212,442
2009.11,1.6599,443
2009.12,1.6226,444
2010.01,1.6158,445
2010.02,1.5618,446
2010.03,1.5058,447
2010.04,1.5332,448
2010.05,1.4669,449
2010.06,1.4768,450
2010.07,1.5304,451
2010.08,1.5661,452
2010.09,1.5591,453
2010.1,1.5867,454
2010.11,1.5961,455
2010.12,1.5595,456
2011.01,1.5782,457
2011.02,1.6124,458
2011.03,1.6159,459
2011.04,1.6379,460
2011.05,1.6332,461
2011.06,1.6219,462
2011.07,1.6158,463
2011.08,1.6356,464
2011.09,1.5771,465
2011.1,1.5768,466
2011.11,1.5806,467
2011.12,1.5587,468
2012.01,1.5524,469
2012.02,1.5804,470
2012.03,1.5824,471
2012.04,1.6,472
2012.05,1.5924,473
2012.06,1.5556,474
2012.07,1.5593,475
2012.08,1.5722,476
2012.09,1.6126,477
2012.1,1.608,478
2012.11,1.5968,479
2012.12,1.6145,480
2013.01,1.5965,481
2013.02,1.5474,482
2013.03,1.508,483
2013.04,1.5311,484
2013.05,1.5297,485
2013.06,1.5493,486
2013.07,1.5179,487
2013.08,1.5505,488
2013.09,1.5885,489
2013.1,1.6098,490
2013.11,1.61,491
2013.12,1.6383,492
2014.01,1.647,493
2014.02,1.6558,494
2014.03,1.6624,495
2014.04,1.6748,496
2014.05,1.6842,497
2014.06,1.6908,498
2014.07,1.7066,499
2014.08,1.67,500
2014.09,1.629,501
2014.1,1.6074,502
2014.11,1.5771,503
2014.12,1.5644,504
2015.01,1.5142,505
2015.02,1.5329,506
2015.03,1.4958,507
2015.04,1.4968,508
2015.05,1.5456,509
2015.06,1.5576,510
2015.07,1.556,511
2015.08,1.5578,512
2015.09,1.5338,513
2015.1,1.5343,514
2015.11,1.5194,515
2015.12,1.4981,516
2016.01,1.4392,517
2016.02,1.429,518
2016.03,1.4249,519
2016.04,1.4319,520
2016.05,1.4524,521
2016.06,1.4197,522
2016.07,1.3134,523
2016.08,1.3101,524
2016.09,1.314,525
2016.1,1.233,526
2016.11,1.2432,527
2016.12,1.2483,528
2017.01,1.2367,529
2017.02,1.2495,530
2017.03,1.2347,531
2017.04,1.2639,532
2017.05,1.2929,533
2017.06,1.281,534
2017.07,1.2996,535
2017.08,1.2952,536
2017.09,1.334,537
2017.1,1.3202,538
2017.11,1.3217,539
2017.12,1.3404,540
2018.01,1.3824,541
2018.02,1.3961,542
2018.03,1.3976,543
2018.04,1.4079,544
2018.05,1.347,545
2018.06,1.3294,546
2018.07,1.3162,547
2018.08,1.2878,548
2018.09,1.3066,549
2018.1,1.3012,550
2018.11,1.29,551
2018.12,1.2664,552
2019.01,1.2901,553
2019.02,1.3016,554
2019.03,1.3167,555
2019.04,1.3029,556
2019.05,1.2855,557
2019.06,1.2675,558
2019.07,1.2461,559
2019.08,1.216,560
2019.09,1.2369,561
2019.1,1.2657,562
2019.11,1.2884,563
2019.12,1.3109,564
2020.01,1.3076,565
2020.02,1.2953,566
2020.03,1.2369,567
2020.04,1.242,568
2020.05,1.2302,569
2020.06,1.2523,570
2020.07,1.2701,571
2020.08,1.3143,572
2020.09,1.2947,573
2020.1,1.298,574
2020.11,1.3198,575
2020.12,1.3434,576
2021.01,1.3641,577
2021.02,1.3867,578
2021.03,1.3863,579
2021.04,1.3845,580
2021.05,1.4084,581
2021.06,1.4025,582
2021.07,1.3808,583
2021.08,1.3797,584
2021.09,1.3732,585
2021.1,1.3701,586
2021.11,1.3463,587
2021.12,1.3303,588
2022.01,1.3555,589
2021.02,1.354,590
2021.03,1.3168,591
2021.04,1.2933,592
