Date,t,Season,spot,Lag 1 Series,Lag 2 Series
Jan-73,1,Jan,2.3563,,
Feb-73,2,Feb,2.4272,2.3563,
Mar-73,3,Mar,2.4724,2.4272,2.3563
Apr-73,4,Apr,2.4837,2.4724,2.4272
May-73,5,May,2.5306,2.4837,2.4724
Jun-73,6,Jun,2.5762,2.5306,2.4837
Jul-73,7,Jul,2.5375,2.5762,2.5306
Aug-73,8,Aug,2.4757,2.5375,2.5762
Sep-73,9,Sep,2.4183,2.4757,2.5375
Oct-73,10,Oct,2.4292,2.4183,2.4757
Nov-73,11,Nov,2.387,2.4292,2.4183
Dec-73,12,Dec,2.3174,2.387,2.4292
Jan-74,13,Jan,2.224,2.3174,2.387
Feb-74,14,Feb,2.2749,2.224,2.3174
Mar-74,15,Mar,2.3406,2.2749,2.224
Apr-74,16,Apr,2.3886,2.3406,2.2749
May-74,17,May,2.4137,2.3886,2.3406
Jun-74,18,Jun,2.3902,2.4137,2.3886
Jul-74,19,Jul,2.3896,2.3902,2.4137
Aug-74,20,Aug,2.3456,2.3896,2.3902
Sep-74,21,Sep,2.3165,2.3456,2.3896
Oct-74,22,Oct,2.333,2.3165,2.3456
Nov-74,23,Nov,2.3252,2.333,2.3165
Dec-74,24,Dec,2.3294,2.3252,2.333
Jan-75,25,Jan,2.3623,2.3294,2.3252
Feb-75,26,Feb,2.3958,2.3623,2.3294
Mar-75,27,Mar,2.418,2.3958,2.3623
Apr-75,28,Apr,2.3707,2.418,2.3958
May-75,29,May,2.3205,2.3707,2.418
Jun-75,30,Jun,2.2803,2.3205,2.3707
Jul-75,31,Jul,2.1845,2.2803,2.3205
Aug-75,32,Aug,2.1143,2.1845,2.2803
Sep-75,33,Sep,2.0834,2.1143,2.1845
Oct-75,34,Oct,2.0568,2.0834,2.1143
Nov-75,35,Nov,2.0484,2.0568,2.0834
Dec-75,36,Dec,2.0221,2.0484,2.0568
Jan-76,37,Jan,2.0286,2.0221,2.0484
Feb-76,38,Feb,2.0262,2.0286,2.0221
Mar-76,39,Mar,1.9428,2.0262,2.0286
Apr-76,40,Apr,1.8463,1.9428,2.0262
May-76,41,May,1.8079,1.8463,1.9428
Jun-76,42,Jun,1.764,1.8079,1.8463
Jul-76,43,Jul,1.785,1.764,1.8079
Aug-76,44,Aug,1.7828,1.785,1.764
Sep-76,45,Sep,1.7272,1.7828,1.785
Oct-76,46,Oct,1.6377,1.7272,1.7828
Nov-76,47,Nov,1.6381,1.6377,1.7272
Dec-76,48,Dec,1.6784,1.6381,1.6377
Jan-77,49,Jan,1.7124,1.6784,1.6381
Feb-77,50,Feb,1.7103,1.7124,1.6784
Mar-77,51,Mar,1.7174,1.7103,1.7124
Apr-77,52,Apr,1.719,1.7174,1.7103
May-77,53,May,1.7185,1.719,1.7174
Jun-77,54,Jun,1.7191,1.7185,1.719
Jul-77,55,Jul,1.7226,1.7191,1.7185
Aug-77,56,Aug,1.7397,1.7226,1.7191
Sep-77,57,Sep,1.7431,1.7397,1.7226
Oct-77,58,Oct,1.7711,1.7431,1.7397
Nov-77,59,Nov,1.8178,1.7711,1.7431
Dec-77,60,Dec,1.8546,1.8178,1.7711
Jan-78,61,Jan,1.9353,1.8546,1.8178
Feb-78,62,Feb,1.9396,1.9353,1.8546
Mar-78,63,Mar,1.9055,1.9396,1.9353
Apr-78,64,Apr,1.8497,1.9055,1.9396
May-78,65,May,1.8181,1.8497,1.9055
Jun-78,66,Jun,1.8372,1.8181,1.8497
Jul-78,67,Jul,1.8949,1.8372,1.8181
Aug-78,68,Aug,1.9406,1.8949,1.8372
Sep-78,69,Sep,1.9595,1.9406,1.8949
Oct-78,70,Oct,2.0075,1.9595,1.9406
Nov-78,71,Nov,1.9608,2.0075,1.9595
Dec-78,72,Dec,1.9861,1.9608,2.0075
Jan-79,73,Jan,2.0053,1.9861,1.9608
Feb-79,74,Feb,2.0042,2.0053,1.9861
Mar-79,75,Mar,2.0378,2.0042,2.0053
Apr-79,76,Apr,2.0735,2.0378,2.0042
May-79,77,May,2.0587,2.0735,2.0378
Jun-79,78,Jun,2.1119,2.0587,2.0735
Jul-79,79,Jul,2.2598,2.1119,2.0587
Aug-79,80,Aug,2.2368,2.2598,2.1119
Sep-79,81,Sep,2.1966,2.2368,2.2598
Oct-79,82,Oct,2.1438,2.1966,2.2368
Nov-79,83,Nov,2.1352,2.1438,2.1966
Dec-79,84,Dec,2.2007,2.1352,2.1438
Jan-80,85,Jan,2.2641,2.2007,2.1352
Feb-80,86,Feb,2.2891,2.2641,2.2007
Mar-80,87,Mar,2.2045,2.2891,2.2641
Apr-80,88,Apr,2.2094,2.2045,2.2891
May-80,89,May,2.302,2.2094,2.2045
Jun-80,90,Jun,2.3359,2.302,2.2094
Jul-80,91,Jul,2.3732,2.3359,2.302
Aug-80,92,Aug,2.3704,2.3732,2.3359
Sep-80,93,Sep,2.4012,2.3704,2.3732
Oct-80,94,Oct,2.4165,2.4012,2.3704
Nov-80,95,Nov,2.3941,2.4165,2.4012
Dec-80,96,Dec,2.3459,2.3941,2.4165
Jan-81,97,Jan,2.4029,2.3459,2.3941
Feb-81,98,Feb,2.2941,2.4029,2.3459
Mar-81,99,Mar,2.2319,2.2941,2.4029
Apr-81,100,Apr,2.1753,2.2319,2.2941
May-81,101,May,2.0884,2.1753,2.2319
Jun-81,102,Jun,1.9738,2.0884,2.1753
Jul-81,103,Jul,1.8737,1.9738,2.0884
Aug-81,104,Aug,1.8203,1.8737,1.9738
Sep-81,105,Sep,1.8146,1.8203,1.8737
Oct-81,106,Oct,1.8407,1.8146,1.8203
Nov-81,107,Nov,1.9025,1.8407,1.8146
Dec-81,108,Dec,1.9033,1.9025,1.8407
Jan-82,109,Jan,1.886,1.9033,1.9025
Feb-82,110,Feb,1.847,1.886,1.9033
Mar-82,111,Mar,1.8053,1.847,1.886
Apr-82,112,Apr,1.772,1.8053,1.847
May-82,113,May,1.8104,1.772,1.8053
Jun-82,114,Jun,1.7563,1.8104,1.772
Jul-82,115,Jul,1.7354,1.7563,1.8104
Aug-82,116,Aug,1.725,1.7354,1.7563
Sep-82,117,Sep,1.712,1.725,1.7354
Oct-82,118,Oct,1.6962,1.712,1.725
Nov-82,119,Nov,1.6321,1.6962,1.712
Dec-82,120,Dec,1.616,1.6321,1.6962
Jan-83,121,Jan,1.5756,1.616,1.6321
Feb-83,122,Feb,1.5329,1.5756,1.616
Mar-83,123,Mar,1.49,1.5329,1.5756
Apr-83,124,Apr,1.5361,1.49,1.5329
May-83,125,May,1.5722,1.5361,1.49
Jun-83,126,Jun,1.548,1.5722,1.5361
Jul-83,127,Jul,1.5273,1.548,1.5722
Aug-83,128,Aug,1.5026,1.5273,1.548
Sep-83,129,Sep,1.4986,1.5026,1.5273
Oct-83,130,Oct,1.4969,1.4986,1.5026
Nov-83,131,Nov,1.4766,1.4969,1.4986
Dec-83,132,Dec,1.4338,1.4766,1.4969
Jan-84,133,Jan,1.4076,1.4338,1.4766
Feb-84,134,Feb,1.4417,1.4076,1.4338
Mar-84,135,Mar,1.4557,1.4417,1.4076
