Date,spot,winf,Lag 1 Series,Lag 2 Series
1973.01,2.3563,5.8,,
1973.02,2.4272,6.0,5.8,
1973.03,2.4724,6.5,6.0,5.8
1973.04,2.4837,7.1,6.5,6.0
1973.05,2.5306,7.7,7.1,6.5
1973.06,2.5762,8.0,7.7,7.1
1973.07,2.5375,8.1,8.0,7.7
1973.08,2.4757,8.8,8.1,8.0
1973.09,2.4183,9.1,8.8,8.1
1973.10,2.4292,9.6,9.1,8.8
1973.11,2.387,10.3,9.6,9.1
1973.12,2.3174,11.1,10.3,9.6
1974.01,2.224,12.1,11.1,10.3
1974.02,2.2749,13.1,12.1,11.1
1974.03,2.3406,13.4,13.1,12.1
1974.04,2.3886,13.6,13.4,13.1
1974.05,2.4137,13.7,13.6,13.4
1974.06,2.3902,13.8,13.7,13.6
1974.07,2.3896,14.5,13.8,13.7
1974.08,2.3456,14.4,14.5,13.8
1974.09,2.3165,14.8,14.4,14.5
1974.10,2.333,15.1,14.8,14.4
1974.11,2.3252,15.4,15.1,14.8
1974.12,2.3294,14.8,15.4,15.1
1975.01,2.3623,14.2,14.8,15.4
1975.02,2.3958,13.5,14.2,14.8
1975.03,2.418,12.8,13.5,14.2
1975.04,2.3707,12.7,12.8,13.5
1975.05,2.3205,12.5,12.7,12.8
1975.06,2.2803,12.5,12.5,12.7
1975.07,2.1845,12.2,12.5,12.5
1975.08,2.1143,11.4,12.2,12.5
1975.09,2.0834,11.0,11.4,12.2
1975.10,2.0568,10.5,11.0,11.4
1975.11,2.0484,10.0,10.5,11.0
1975.12,2.0221,9.7,10.0,10.5
1976.01,2.0286,9.7,9.7,10.0
1976.02,2.0262,9.6,9.7,9.7
1976.03,1.9428,9.5,9.6,9.7
1976.04,1.8463,9.4,9.5,9.6
1976.05,1.8079,9.2,9.4,9.5
1976.06,1.764,8.9,9.2,9.4
1976.07,1.785,8.7,8.9,9.2
1976.08,1.7828,8.9,8.7,8.9
1976.09,1.7272,9.0,8.9,8.7
1976.10,1.6377,9.3,9.0,8.9
1976.11,1.6381,9.4,9.3,9.0
1976.12,1.6784,9.6,9.4,9.3
1977.01,1.7124,9.7,9.6,9.4
1977.02,1.7103,10.0,9.7,9.6
1977.03,1.7174,10.2,10.0,9.7
1977.04,1.719,10.5,10.2,10.0
1977.05,1.7185,10.4,10.5,10.2
1977.06,1.7191,10.6,10.4,10.5
1977.07,1.7226,10.6,10.6,10.4
1977.08,1.7397,10.7,10.6,10.6
1977.09,1.7431,10.4,10.7,10.6
1977.10,1.7711,9.9,10.4,10.7
1977.11,1.8178,9.7,9.9,10.4
1977.12,1.8546,9.5,9.7,9.9
1978.01,1.9353,9.3,9.5,9.7
1978.02,1.9396,9.0,9.3,9.5
1978.03,1.9055,9.0,9.0,9.3
1978.04,1.8497,8.7,9.0,9.0
1978.05,1.8181,8.9,8.7,9.0
1978.06,1.8372,9.1,8.9,8.7
1978.07,1.8949,9.3,9.1,8.9
1978.08,1.9406,9.2,9.3,9.1
1978.09,1.9595,9.2,9.2,9.3
1978.10,2.0075,9.4,9.2,9.2
1978.11,1.9608,9.3,9.4,9.2
1978.12,1.9861,9.3,9.3,9.4
1979.01,2.0053,9.6,9.3,9.3
1979.02,2.0042,9.7,9.6,9.3
1979.03,2.0378,9.9,9.7,9.6
1979.04,2.0735,10.2,9.9,9.7
1979.05,2.0587,10.4,10.2,9.9
1979.06,2.1119,10.8,10.4,10.2
1979.07,2.2598,11.4,10.8,10.4
1979.08,2.2368,11.7,11.4,10.8
1979.09,2.1966,12.1,11.7,11.4
1979.10,2.1438,12.4,12.1,11.7
1979.11,2.1352,12.9,12.4,12.1
1979.12,2.2007,13.5,12.9,12.4
1980.01,2.2641,14.4,13.5,12.9
1980.02,2.2891,15.2,14.4,13.5
1980.03,2.2045,15.5,15.2,14.4
1980.04,2.2094,15.7,15.5,15.2
1980.05,2.302,15.6,15.7,15.5
1980.06,2.3359,15.4,15.6,15.7
1980.07,2.3732,14.5,15.4,15.6
1980.08,2.3704,14.5,14.5,15.4
1980.09,2.4012,14.3,14.5,14.5
1980.10,2.4165,14.2,14.3,14.5
1980.11,2.3941,14.2,14.2,14.3
1980.12,2.3459,14.0,14.2,14.2
1981.01,2.4029,13.3,14.0,14.2
1981.02,2.2941,12.6,13.3,14.0
1981.03,2.2319,12.3,12.6,13.3
1981.04,2.1753,11.9,12.3,12.6
1981.05,2.0884,11.8,11.9,12.3
1981.06,1.9738,11.6,11.8,11.9
1981.07,1.8737,12.0,11.6,11.8
1981.08,1.8203,12.0,12.0,11.6
1981.09,1.8146,12.1,12.0,12.0
1981.10,1.8407,11.8,12.1,12.0
1981.11,1.9025,11.5,11.8,12.1
1981.12,1.9033,11.2,11.5,11.8
1982.01,1.886,10.9,11.2,11.5
1982.02,1.847,10.5,10.9,11.2
1982.03,1.8053,10.1,10.5,10.9
1982.04,1.772,10.2,10.1,10.5
1982.05,1.8104,10.4,10.2,10.1
1982.06,1.7563,10.7,10.4,10.2
1982.07,1.7354,10.5,10.7,10.4
1982.08,1.725,10.9,10.5,10.7
1982.09,1.712,10.7,10.9,10.5
1982.10,1.6962,10.9,10.7,10.9
1982.11,1.6321,10.8,10.9,10.7
1982.12,1.616,11.3,10.8,10.9
1983.01,1.5756,11.4,11.3,10.8
1983.02,1.5329,11.3,11.4,11.3
1983.03,1.49,11.4,11.3,11.4
1983.04,1.5361,11.4,11.4,11.3
1983.05,1.5722,11.1,11.4,11.4
1983.06,1.548,10.4,11.1,11.4
1983.07,1.5273,10.4,10.4,11.1
1983.08,1.5026,9.9,10.4,10.4
1983.09,1.4986,9.8,9.9,10.4
1983.10,1.4969,9.8,9.8,9.9
1983.11,1.4766,10.0,9.8,9.8
1983.12,1.4338,9.6,10.0,9.8
1984.01,1.4076,9.4,9.6,10.0
1984.02,1.4417,9.6,9.4,9.6
1984.03,1.4557,9.6,9.6,9.4
1984.04,1.421,9.3,9.6,9.6
1984.05,1.3894,9.1,9.3,9.6
1984.06,1.377,9.1,9.1,9.3
1984.07,1.32,8.9,9.1,9.1
1984.08,1.3132,8.7,8.9,9.1
1984.09,1.2563,8.6,8.7,8.9
1984.10,1.2196,8.5,8.6,8.7
1984.11,1.2392,8.1,8.5,8.6
1984.12,1.1861,7.9,8.1,8.5
1985.01,1.1271,7.9,7.9,8.1
1985.02,1.0931,7.8,7.9,7.9
1985.03,1.1253,8.0,7.8,7.9
1985.04,1.2377,8.0,8.0,7.8
1985.05,1.2483,7.8,8.0,8.0
1985.06,1.2808,7.6,7.8,8.0
1985.07,1.3807,7.4,7.6,7.8
1985.08,1.3841,7.4,7.4,7.6
1985.09,1.3642,7.3,7.4,7.4
1985.10,1.4215,7.3,7.3,7.4
1985.11,1.4396,7.5,7.3,7.3
1985.12,1.4447,7.8,7.5,7.3
