Date,Trucks,Income,Prime
92/Jan,3.82,27671,6.50
92/Feb,3.89,27772,6.50
92/Mar,3.97,27772,6.50
92/Apr,3.99,27824,6.50
92/May,4.22,27925,6.50
92/Jun,4.34,28012,6.50
92/Jul,4.05,27958,6.02
92/Aug,4.42,28023,6.00
92/Sep,4.55,27860,6.00
92/Oct,4.71,27649,6.00
92/Nov,4.44,27662,6.00
92/Dec,4.57,28618,6.00
93/Jan,4.51,27966,6.00
93/Feb,4.48,28073,6.00
93/Mar,4.66,27959,6.00
93/Apr,5.04,28075,6.00
93/May,5.08,28005,6.00
93/Jun,5.13,27923,6.00
93/Jul,5.06,27961,6.00
93/Aug,4.81,27968,6.00
93/Sep,5.03,27860,6.00
93/Oct,5.23,27694,6.00
93/Nov,5.25,27744,6.00
93/Dec,5.63,28662,6.00
94/Jan,5.68,28101,6.00
94/Feb,5.67,28132,6.00
94/Mar,5.53,28198,6.06
94/Apr,5.84,28171,6.45
94/May,5.30,28468,6.99
94/Jun,5.58,28392,7.25
94/Jul,5.47,28385,7.25
94/Aug,5.64,28387,7.51
94/Sep,5.59,28480,7.75
94/Oct,5.95,28721,7.75
94/Nov,5.94,28693,8.15
94/Dec,5.73,28797,8.50
95/Jan,5.50,28865,8.50
95/Feb,5.59,28898,9.00
95/Mar,5.76,28952,9.00
95/Apr,5.44,28711,9.00
95/May,5.52,28974,9.00
95/Jun,5.82,29030,9.00
95/Jul,5.60,29064,8.80
95/Aug,5.64,29051,8.75
95/Sep,5.70,29113,8.75
95/Oct,5.59,29115,8.75
95/Nov,5.90,29169,8.75
95/Dec,6.43,29185,8.65
96/Jan,6.06,29202,8.50
96/Feb,6.22,29404,8.25
96/Mar,6.19,29472,8.25
96/Apr,6.03,29267,8.25
96/May,6.12,29609,8.25
96/Jun,5.91,29757,8.25
96/Jul,5.97,29647,8.25
96/Aug,6.20,29689,8.25
96/Sep,6.22,29725,8.25
96/Oct,6.45,29691,8.25
96/Nov,6.58,29742,8.25
96/Dec,6.21,29817,8.25
97/Jan,6.18,29877,8.25
97/Feb,6.12,29935,8.25
97/Mar,6.35,30050,8.30
97/Apr,6.12,30043,8.50
